,UMAP_1,UMAP_2,cluster,dbscan_cluster
1350,20.004288,-4.470616,25,25
1351,21.127687,10.048759,21,21
1352,8.666569,-9.630311,9,9
1353,21.379438,-2.402503,17,17
1354,11.80026,8.702254,18,18
1355,-2.481527,-4.6057,11,11
1356,12.953507,19.782864,12,12
1357,-0.6531297,11.102395,19,19
1358,13.126388,2.9849713,18,18
1359,-1.7890607,6.1702166,20,20
1360,-4.8999815,4.2408476,13,13
1361,4.9776134,-11.259609,24,24
1362,-4.1349645,4.9718914,13,13
1363,7.797536,18.655613,16,16
1364,0.8219292,-5.183969,31,31
1365,0.8731474,2.5390892,8,8
1366,1.7864939,12.014813,30,30
1367,20.514473,-4.1273355,25,25
1368,18.715912,-9.227227,22,22
1369,2.1264453,-8.3676,3,3
1370,0.075989805,2.5889573,8,8
1371,19.743914,0.46428812,17,17
1372,2.3615685,12.501233,30,30
1373,-1.9112887,1.1373415,8,8
1374,1.4174681,1.0602505,14,14
1375,0.37074894,23.16349,2,2
1376,16.456926,2.266821,17,17
1377,-0.5996413,11.117588,19,19
1378,-4.844804,10.196268,19,19
1379,9.982931,11.944434,23,23
1380,6.359257,-14.5640135,26,26
1381,0.82426673,-5.18347,31,31
1382,0.7985887,-5.166273,31,31
1383,12.285059,3.299443,18,18
1384,14.511734,-2.561472,1,1
1385,21.109186,-0.9644226,17,17
1386,-9.444251,6.833556,5,5
1387,13.647953,17.364698,12,12
1388,13.645519,17.346638,12,12
1389,13.64747,17.363344,12,12
1390,11.103372,-0.31399316,1,1
1391,-1.3785272,14.540018,0,0
1392,-6.420128,2.0736957,13,13
1393,11.368615,12.370099,7,7
1394,10.944034,8.260055,18,18
1395,1.0766553,0.82406706,14,14
1396,14.516735,8.881952,6,6
1397,0.4447731,0.3205335,14,14
1398,15.988201,22.40954,29,29
1399,-1.2151119,6.3357277,20,20
1400,11.144283,3.86335,18,18
1401,12.038973,12.470101,7,7
1402,14.102179,12.767891,7,7
1403,15.979988,22.413439,29,29
1404,21.40099,-2.1373017,17,17
1405,20.77218,-0.5071504,17,17
1406,20.632378,9.747366,21,21
1407,13.105542,-1.4925606,1,1
1408,-1.9843836,10.680211,19,19
