artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,tag,hdbscan_cluster,dbscan_cluster
bluntone,loved ones,0kEZyixvEaoZArFOw4GXos,0.812,0.181,4,-11.996,0,0.447,0.163,0.88,0.0861,0.469,38.498,audio_features,spotify:track:0kEZyixvEaoZArFOw4GXos,https://api.spotify.com/v1/tracks/0kEZyixvEaoZArFOw4GXos,https://api.spotify.com/v1/audio-analysis/0kEZyixvEaoZArFOw4GXos,99765,4,not_hot,215,2
mose allison,stand by,183GOGGSy4G0dUW6qZKIdb,0.638,0.395,8,-14.193,1,0.0471,0.952,0.000114,0.122,0.859,107.468,audio_features,spotify:track:183GOGGSy4G0dUW6qZKIdb,https://api.spotify.com/v1/tracks/183GOGGSy4G0dUW6qZKIdb,https://api.spotify.com/v1/audio-analysis/183GOGGSy4G0dUW6qZKIdb,100547,4,not_hot,215,2
summer salt,rockaway,2RlVyAjLnGJQYp7uzpfUta,0.722,0.544,8,-5.924,1,0.075,0.0969,0.0,0.0836,0.805,83.789,audio_features,spotify:track:2RlVyAjLnGJQYp7uzpfUta,https://api.spotify.com/v1/tracks/2RlVyAjLnGJQYp7uzpfUta,https://api.spotify.com/v1/audio-analysis/2RlVyAjLnGJQYp7uzpfUta,239200,4,not_hot,290,17
konshens,on your face,30mNHDOw7qD5SF8tBeuPpu,0.816,0.875,7,-2.499,1,0.184,0.187,0.0,0.0346,0.952,100.967,audio_features,spotify:track:30mNHDOw7qD5SF8tBeuPpu,https://api.spotify.com/v1/tracks/30mNHDOw7qD5SF8tBeuPpu,https://api.spotify.com/v1/audio-analysis/30mNHDOw7qD5SF8tBeuPpu,173465,4,not_hot,126,13
george benson,out of the blue,5gaUkg5JNk8c4mr2jnpX8H,0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282,audio_features,spotify:track:5gaUkg5JNk8c4mr2jnpX8H,https://api.spotify.com/v1/tracks/5gaUkg5JNk8c4mr2jnpX8H,https://api.spotify.com/v1/audio-analysis/5gaUkg5JNk8c4mr2jnpX8H,301026,4,not_hot,16,21
george benson,love all the hurt away,5gaUkg5JNk8c4mr2jnpX8H,0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282,audio_features,spotify:track:5gaUkg5JNk8c4mr2jnpX8H,https://api.spotify.com/v1/tracks/5gaUkg5JNk8c4mr2jnpX8H,https://api.spotify.com/v1/audio-analysis/5gaUkg5JNk8c4mr2jnpX8H,301026,4,not_hot,16,21
iron butterfly,soul experience,4RRcH4M877zXmxCi50cwMz,0.801,0.244,0,-15.288,1,0.0409,0.754,0.00249,0.111,0.644,108.869,audio_features,spotify:track:4RRcH4M877zXmxCi50cwMz,https://api.spotify.com/v1/tracks/4RRcH4M877zXmxCi50cwMz,https://api.spotify.com/v1/audio-analysis/4RRcH4M877zXmxCi50cwMz,171107,4,not_hot,13,13
billy eckstine,my foolish heart,4UnRb3Fmb8F2h2a1xKj6uK,0.218,0.186,9,-13.342,1,0.0382,0.993,0.141,0.379,0.113,170.877,audio_features,spotify:track:4UnRb3Fmb8F2h2a1xKj6uK,https://api.spotify.com/v1/tracks/4UnRb3Fmb8F2h2a1xKj6uK,https://api.spotify.com/v1/audio-analysis/4UnRb3Fmb8F2h2a1xKj6uK,183573,4,not_hot,80,14
the black keys,she's long gone,26ZnmGlPGXaOzPDydAP9D5,0.349,0.866,11,-6.676,0,0.112,0.0361,0.0406,0.216,0.488,167.951,audio_features,spotify:track:26ZnmGlPGXaOzPDydAP9D5,https://api.spotify.com/v1/tracks/26ZnmGlPGXaOzPDydAP9D5,https://api.spotify.com/v1/audio-analysis/26ZnmGlPGXaOzPDydAP9D5,186000,4,not_hot,51,14
lindsey stirling,shatter me featuring lzzy hale,2K7j4xrQENCi5r3Hii4cVe,0.483,0.947,9,-3.018,0,0.0594,0.000742,0.0,0.14,0.347,144.948,audio_features,spotify:track:2K7j4xrQENCi5r3Hii4cVe,https://api.spotify.com/v1/tracks/2K7j4xrQENCi5r3Hii4cVe,https://api.spotify.com/v1/audio-analysis/2K7j4xrQENCi5r3Hii4cVe,280800,4,not_hot,86,7
